project,Region,country,Status(as of 2025.1Q),Extraction Type,Resource,Geology,Total_Cash_Cost,Capacity,Size_Category,Cost_Quartile
Salar de Atacama I,South America,Chile,Existing operations,Evaporation,Brine,Salar,6518.115316113661,84.5,Large (50-100kt),Q1 (Low Cost)
Salar de Atacama II,South America,Chile,Existing operations,Evaporation,Brine,Salar,6518.115316113661,210.0,Very Large (>100kt),Q1 (Low Cost)
Olaroz,South America,Argentina,Existing operations,Evaporation,Brine,Salar,6924.080400000001,42.5,Medium (30-50kt),Q1 (Low Cost)
Salar del Hombre Muerto,South America,Argentina,Existing operations,Direct Extraction,Brine,Salar,7610.369300546326,51.2,Large (50-100kt),Q1 (Low Cost)
Chaerhan Lake,Asia,china,Existing operations,Direct Extraction,Brine,Salar,9426.19624119661,38.771974,Medium (30-50kt),Q1 (Low Cost)
Yiliping,Asia,China,Existing operations,Direct Extraction,Brine,Salar,22107.780364899536,14.0,Small (10-30kt),Q4 (High Cost)
Silver Peak,North America,United States,Existing operations,Evaporation,Brine,Salar,9451.22672791544,6.0,Very Small (<10kt),Q1 (Low Cost)
Cauchari-Olaroz,South America,Argentina,Existing operations,Evaporation,Brine,Salar,10056.782400000002,40.0,Medium (30-50kt),Q1 (Low Cost)
East Taijnar,Asia,China,Existing operations,Evaporation,Brine,Salar,9996.752562340114,20.0,Small (10-30kt),Q1 (Low Cost)
West Taijnar I,Asia,China,Existing operations,"Evaporation,Direct Extraction",Brine,Salar,10229.96276241484,10.0,Very Small (<10kt),Q1 (Low Cost)
West Taijnar II,Asia,China,Existing operations,Direct Extraction,Brine,Salar,10457.83803300219,5.0,Very Small (<10kt),Q1 (Low Cost)
West Taijnar III,Asia,China,Existing operations,Direct Extraction,Brine,Salar,11025.66705268411,20.0,Small (10-30kt),Q2
Sal de Oro,South America,Argentina,Existing operations,Direct Extraction,Brine,Salar,12872.008901120018,22.0,Small (10-30kt),Q3
Sal de Vida,South America,Argentina,Committed projects,Direct Extraction,Brine,Salar,12353.022140264113,15.0,Small (10-30kt),Q2
Salar del Rincón I,South America,Argentina,Existing operations,Evaporation,Brine,Salar,17947.0,2.0,Very Small (<10kt),Q4 (High Cost)
Salar del Rincón II,South America,Argentina,Committed projects,Direct Extraction,Brine,Salar,12432.126070381455,3.0,Very Small (<10kt),Q2
Maricunga,South America,Chile,Speculative projects,Direct Extraction,Brine,Salar,12629.066683713554,15.2,Small (10-30kt),Q3
Salar de Uyuni,South America,Bolivia,Speculative projects,Direct Extraction,Brine,Salar,19600.0,25.0,Small (10-30kt),Q4 (High Cost)
Qarhan I,Asia,China,Existing operations,Direct Extraction,Brine,Salar,23650.0,10.0,Very Small (<10kt),Q4 (High Cost)
